"Timestamp","1.   Jakie studia ukończyłaś/-eś?","2. 	Czy określiłabyś/-łbyś kognitywistykę jako Twój podstawowy kierunek studiów? ","3. 	Czy ukończyłeś jeszcze inne kierunki studiów?","4.	W jakim ośrodku zakończyłaś/-eś studia licencjackie w zakresie kognitywistyki?","5.	W którym roku zakończyłaś/-eś studia?","6.	Które określenie najlepiej opisuje specjalizację zrealizowaną w obrębie Twoich studiów w zakresie kognitywistyki?","7.	Czy ukończyłeś również studia licencjackie w zakresie kognitywistyki?","9.	W którym roku zakończyłaś/-eś studia?","8	W jakim ośrodku zakończyłaś/-eś studia magisterskie w zakresie kognitywistyki?","10.	Które określenia najlepiej opisują specjalizację zrealizowaną w obrębie Twoich studiów w zakresie kognitywistyki?","11. 	Co uważasz za najmocniejszą stronę studiów z kognitywistyki?","12.  	Co uważasz za najsłabszą stronę studiów z kognitywistyki?","13.	Jak oceniasz w jakim stopniu studia na kognitywistyce przygotowały Cię do wejścia na rynek pracy?","14. 	Jak można lepiej przygotowywać studentów kognitywistyki do wejścia na rynek pracy?","15. Czy jesteś aktywna/-y zawodowo?","16. 	Jak oceniasz stopień trudności znalezienia pracy w Polsce ogólnie?","17.	Ile czasu potrzebowałaś/-eś by znaleźć pracę po ukończeniu studiów?","18.	W jaki sposób szukałaś/-eś pracy?","19.	Czy musiałaś/-eś zmienić miejsce zamieszkania po ukończeniu studiów wyłącznie po to żeby znaleźć pracę?","20. 	Czy musiałaś/-eś się doszkolić lub przekwalifikować żeby znaleźć zadowalającą pracę?","21.	Czy musiałaś/-eś się doszkolić by znaleźć pracę (rozwinąć kompetencje nabyte w trakcie studiów)? ","22.	Czy musiałaś/-eś się przekwalifikować (nabyć zupełnie nowe kompetencje)?","23.	Jaka jest Twoja obecna sytuacja zawodowa? ","24. 	 Jaki jest Twój ogólny staż pracy?","25. 	Jaki zawód obecnie wykonujesz?","26. 	Jaki zawód chciałabyś/-łbyś wykonywać?","27.	Czy wykonywana przez Ciebie praca jest zgodna z kierunkiem studiów?","28. 	Jaki jest Twój średni miesięczny dochód osobisty brutto z realizowanej pracy w złotych?","29. 	Jak bardzo jesteś zadowolona/-y ze swojej pracy?","30. 	Jak bardzo jesteś zadowolona/-y ze swoich zarobków?","31.  	Czy ponownie zdecydowałabyś/-byś się na ten kierunek studiów? ","32.	Jak często wykorzystujesz umiejętności nabyte w trakcie studiów w ramach swoich codziennych obowiązków w pracy?","33. 	Jak komentowano ukończony kierunek podczas rekrutacji do pracy?","34. 	Płeć","35. 	Wiek","36. 	Stan cywilny","37. 	Kraj zamieszkania","38. 	Wielkość miejsca zamieszkania"
"2020/05/07 9:33:29 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","kulturoznawstwo w ramach MISHu","","","","Tak","2014","Uniwersytet im. Adama Mickiewicza w Poznaniu","Psychologiczne i społeczne;filozoficzno-logiczne ","interdyscyplinarność i wszechstronne ksztłacenie","brak rozpoznania tego, co jest wiedzą konieczną i podstawową, a co dodatkową oraz połączenia podstwy-praktyka-umiejętności (ale to się podobno zmienia)","1","Z jednej strony poprzez oferowanie ścieżek specjalizacyjnych zgodnie z zainteresowaniami ale z których zawsze wyłonią się jakieś możliwości zawodowe, bo tak to zostało zaprojektowane (typu ktoś bardziej interesuje się lub czuje się mocniejszy w danych przedmiotach i je wybiera, to musi też wybrać parę innych i w ten sposób realizuje specjalizację X która daje takie to a takie umiejętności, w jej ramach wyrabia się taki to a taki certyfikat i można po tym zajmować się tym i tym). Z drugiej wprowadzając zajęcia z ekonomii politycznej i pokazując, jak rynek ten, w ramach kapitalizmu, jest przeciwko nim, jak ważne jest wciąż uzwiązkowienie czy świadomość klasowa również w prekariacie i projektariacie. ","Tak","3","10-12 miesięcy","Strona internetowa pracodawcy;Biuro Karier;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez inne studia;Tak, poprzez książki i inne materiały","Tak, poprzez inne studia;Tak, poprzez książki i inne materiały","Doktorantka/-","3-5 lat","doktorant ","adiunkt","Nie","3100","4","4","3","3","3","Mężczyzna","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:35:59 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Warszawski","2017","Informatyczne;Psychologiczne i społeczne","","","","","Podstawy do rozwoju w wielu obszarach","Na licencjackich UW słabych stron nie dostrzegam","5","Utworzyć przedmioty specjalizacyjne na ostatni rok, stricte pod określoną ścieżkę kariery / zawód","Tak","5","0-1 miesiąc","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","5","4","5","3","5","Mężczyzna","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:42:22 PM GMT+2","Kognitywistyka (studia magisterskie)","Nie","Informatyka","","","","Tak","2017","Uniwersytet im. Adama Mickiewicza w Poznaniu","Informatyczne;Logika","Interdyscyplinarność, która uczy pewnego sposobu myślenia","Interdyscyplinarność - jeżeli coś jest do wszystkiego, to jest do niczego ","1","Umiejętności miękkie są ważne, lecz należy wyposażać studentów w umiejętności twarde ( certyfikaty,  kursy) ","Tak","3","2-3 miesiące","Targi Pracy","Nie","Tak","Nie;Tak, poprzez inne studia","Tak, poprzez inne studia","Pracująca/-y","1-2 lata","Software developer ","Software developer ","Nie","0","4","5","2","1","3","Mężczyzna","26 - 30","Zamężna, Żonaty","POlska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:43:31 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet im. Adama Mickiewicza w Poznaniu","2019","Humanistyczne;Informatyczne;Psychologiczne i społeczne;Zarządzanie i marketing","","","","","multidyscyplinarość","multidyscyplinarość xD Brak skupiena na czymś konkretnych","5","nie dało się lepiej, jest idealnie","Tak","5","Pracowałam/-em już w trakcie studiów","polecenie","Nie","Tak","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Nie","Pracująca/-y;Studentka/-","7-12 miesięcy","UXy","Bez zmian Pytanie 27 - nie ma czegoś takiego jak zawód kognitywistyk, więc słabe pytanie","Nie","4000","5","5","5","5","5","Kobieta","19 - 22","Związek partnerski","Polska, ale pracuję w Dani - zdalnie z Polski","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:46:10 PM GMT+2","Kognitywistyka (studia magisterskie)","Nie","","","","","Nie","2015","Uniwersytet im. Adama Mickiewicza w Poznaniu","Informatyczne","semestry logiki i epistemologii, serio","dyplom","1","nie warto","Tak","4","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Biuro Karier","Nie","Nie","","","","","","","","","3","3","5","4","4","Mężczyzna","31 - 35","Panna, Kawaler","pl","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:47:57 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Nie","2019","Uniwersytet im. Adama Mickiewicza w Poznaniu","Humanistyczne;Psychologiczne i społeczne;Zarządzanie i marketing","Jej multidyscyplinarność","Także jej multidyscyplinarność - przez pewne zagadnienia przechodzi się pobieżnie, gdyż zwyczajnie nie ma na to czasu","5","Więcej zajęć praktycznych i projektów, które można załączyć w swoim portfolio","Tak","4","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy","Nie","Nie","","","","","","","","","5","5","5","4","5","Kobieta","23 - 25","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 9:59:44 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","tak, polonistykę i kulturoznawstwo","Uniwersytet Warszawski","2019","Biologiczne i przyrodnicze;Psychologiczne i społeczne","","","","","Podstawy programowania i statystyki","Za mało biologii (wiedzy o budowie mózgu)","4","Więcej programowania","Tak","3","Pracowałam/-em już w trakcie studiów","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","5","3","5","4","4","Kobieta","26 - 30","Związek partnerski","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 10:01:05 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2018","Uniwersytet Jagielloński w Krakowie","Psychologiczne i społeczne","Interdyscyplinarność, możliwość dopasowywania kursów do zainteresowań","Brak konkretnego zawodu","4","","Tak","2","Pracowałam/-em już w trakcie studiów","Biuro informacji UJ","Nie","Nie","","","","","","","","","5","5","5","5","5","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 10:02:30 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Zarządzanie i marketing - mgr","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2015","Informatyczne","","","","","Interdyscyplinarnosc, zajęcia po angielsku","Za mało wiedzy neurobiologicznej","3","Zajęcia z UX, programowanie w nowych językach ","Tak","4","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook)","Tak","Nie","","","","","","","","","4","5","5","1","4","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 10:21:42 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2017","UJ","Biologiczne i przyrodnicze;Humanistyczne;Psychologiczne i społeczne","Interesujące studia, to rzadkie","Pierwszy rok był nudny","2","Wprowadzic zajęcia praktyczne","Tak","4","0-1 miesiąc","Złożyłam cv do firmy którą znałam z konferencji naukowych","Tak","Nie","","","","","","","","","5","5","5","3","5","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 10:30:18 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2018","Uniwersytet Mikołaja Kopernika w Toruniu","Biologiczne i przyrodnicze;Filologiczne;Humanistyczne;Matematyczne;Psychologiczne i społeczne","Interdyscyplinarność","Interdyscyplinarność","2","Kontakt z tzw ""Biznesem"" przy doborze przedmiotów materiałów praktyk itd","Tak","5","0-1 miesiąc","Nie szukałem - Pracuje w firmie w której postanowiłem pracować na koniec studiów","Tak","Tak","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Pracująca/-y","1-2 lata","Programista Systemów Wbudowanych","Kognitywista?","Nie","7000","3","5","4","2","4","Mężczyzna","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 10:36:07 PM GMT+2","Kognitywistyka (studia licencjackie)","Nie","","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2018","Biologiczne i przyrodnicze;Informatyczne","","","","","","","3","","Tak","3","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Urząd Pracy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","4","4","4","2","3","Mężczyzna","26 - 30","Związek partnerski","Polska","Miasto do 100 tys. mieszkańców"
"2020/05/07 10:36:43 PM GMT+2","Kognitywistyka (studia licencjackie)","Nie","Pedagogika","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2016","Humanistyczne;Informatyczne","","","","","Interdyscyplinarność ","Ogrom filozofii","3","Większa praktyczność nauczania, na przykład programowanie w używanych obecnie językach, zamiast w niemal wymarłych ","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Urząd Pracy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","5","4","2","3","3","Kobieta","26 - 30","Zamężna, Żonaty","Polska","Wieś"
"2020/05/07 10:38:00 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2016","Uniwersytet im. Adama Mickiewicza w Poznaniu","Humanistyczne;Psychologiczne i społeczne","Interdyscyplinarność","brak","5","nie można, to zależy od chęci jednostki","Tak","4","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Strona internetowa pracodawcy","Nie","Tak","Nie","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Pracująca/-y","3-5 lat","Senior HR Advisor","Manager ds HR","Nie","6000","4","3","4","4","4","Kobieta","26 - 30","Panna, Kawaler","polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 10:39:11 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2018","Uniwersytet Szczeciński","Humanistyczne;Informatyczne;Psychologiczne i społeczne;Lingwistyczne","Interdyscyplinarność, możliwość odnalezienia ""swojej ścieżki"" i specjalizacji, podejście badawcze","Parę ""zapychaczy"", czasem zbyt plytko poruszane tematy z uwagi na ich mnogość","4","Dużo zajęć że specjalistami, zajecis praktyczne z ludźmi którzy są aktywni zawodowo (poza uczelnią) i dzielą się najnowszą, przydatna wiedzą oraz doświadczeniem zawodowym.","Tak","4","Pracowałam/-em już w trakcie studiów","Zatrudnienie w firmie, w której pracował wykładowca. Aktywność na zajęciach zaowocowała propozycja pracy.","Nie","Nie","","","","","","","","","5","4","5","5","5","Kobieta","26 - 30","Związek partnerski","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/07 10:39:49 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Warszawski","2018","Informatyczne;Matematyczne","","","","","Interdyscyplinarność","Interdyscyplinarność (nieugruntowana wiedza z roznych dziedzin, Ale tylko po trochu) nie wiadomo co dalej robić","2","Seminaria z osobami z różnych branż, które są zainteresowane zatrudnieniem studentów potem","Tak","4","10-12 miesięcy","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Nie","Tak w pracy","Pracująca/-y;Studentka/-","7-12 miesięcy","Anotator","UX designer","Tak","300","2","3","4","1","3","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto do 100 tys. mieszkańców"
"2020/05/07 10:53:01 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet w Białymstoku","2018","Humanistyczne;Informatyczne;Psychologiczne i społeczne","","","","","Rozwijanie swoich zainteresowań ","Brak ściśle wyznaczonej ścieżki rozwoju","1","Wprowadzenie praktyk, stworzenie miejsc pracy dla specjalistów ","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl)","Tak","Nie","","","","","","","","","1","1","5","1","5","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 10:53:08 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Warszawski","2019","Biologiczne i przyrodnicze;Humanistyczne;Informatyczne;Matematyczne;Psychologiczne i społeczne","","","","","Szerokie pole zainteresowań dziedziny","Szerokie pole zainteresowań dziedziny","2","Prawdopodobnie kładąc większy nacisk na twardą wiedzę informatyczną","Tak","3","4-6 miesięcy","Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Strona internetowa pracodawcy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez kurs online (wliczając webinary)","Nie","Pracująca/-y;Studentka/-","4-6 miesięcy","Freelancer","Praca naukowa","Nie","3500","2","2","4","2","3","Mężczyzna","19 - 22","Panna, Kawaler","Włochy","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 10:54:46 PM GMT+2","Kognitywistyka (studia licencjackie)","Nie","Informatyka","Uniwersytet Mikołaja Kopernika w Toruniu","2016 ","Biologiczne i przyrodnicze;Humanistyczne;Psychologiczne i społeczne","","","","","Jest ciekawa ","Brak uprawnień do pracy z ludźmi ","1","Dać im większe możliwości jeśli chodzi o pracę i rozwój osobisty. ","Tak","4","Powyżej 12 miesięcy","Strona internetowa pracodawcy","Nie","Tak","Tak, poprzez inne studia","Tak, poprzez inne studia","Pracująca/-y","1-2 lata","Informatyk","","Tak","","5","4","1","1","2","Kobieta","26 - 30","Panna, Kawaler","Polska ","Miasto do 500 tys. mieszkańców"
"2020/05/07 10:58:45 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Warszawski","2017","Humanistyczne;Informatyczne;Matematyczne;Psychologiczne i społeczne","","","","","wszechstronność","brak elastyczności w wyborze tematów których chcę się uczyć","4","więcej zajęć pokazujących możliwości wykorzystania kognitywistyki w pracy (rozmowy z absolwentami, dzień próbny w jakiejś firmie)","Tak","3","7-9 miesięcy","Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny);Tak, poprzez kurs stacjonarny;Tak, poprzez książki i inne materiały","Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny);Tak, poprzez kurs stacjonarny;Tak, poprzez książki i inne materiały","Pracująca/-y","3-5 lat","ux designer","ux designer","Tak","10000","5","4","5","4","4","Kobieta","26 - 30","Panna, Kawaler","pl","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 11:46:52 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2018","Psychologiczne i społeczne","","","","","Interdyscyplinarność","","1","Obowiązkowe praktyki","Nie","","","","","","","","","","","","","","","","","","","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/08 12:10:47 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","IT Project Management","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2014","Filologiczne;Humanistyczne;Informatyczne","","","","","Neuro","Zbyt szeroki zakres z mała ilością konkretów ","3","","Tak","4","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook)","Tak","Tak","Tak, poprzez studia podyplomowe;Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny);Tak, poprzez kurs online (wliczając webinary)","Nie","Pracująca/-y","3-5 lat","Marketing Expert","UX designer","Nie","5000","3","4","5","4","5","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 12:27:50 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Modelowanie procesów poznawczych (w NL)","Uniwersytet Warszawski","2016","Informatyczne;Psychologiczne i społeczne","","","","","interdyscyplinarność","brak bezpośredniego przełożenia na konkretny zawód","3","Studia nie są od tego.","Tak","3","2-3 miesiące","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Targi Pracy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Nie","","","","","","","","","4","4","5","2","4","Mężczyzna","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 12:41:31 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Zarządzanie zasobami ludzkimi ","Uniwersytet im. Adama Mickiewicza w Poznaniu","2018","Psychologiczne i społeczne;Niestety dużo było filozofii ","","","","","Szeroki zakres wiedzy ","Brak praktyk jak na innych uczelniach ","3","Organizacja obowiązkowych praktyk. ","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl)","Nie","Tak","Tak, poprzez inne studia","Tak, poprzez inne studia","Pracująca/-y;Studentka/-","1-2 lata","Specjalista ds. Rekrutacji ","Specjalista ds. Hr lub ux researcher","Nie","4000","2","2","3","1","5","Kobieta","23 - 25","Związek partnerski","Polska ","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 12:53:10 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2019","Uniwersytet Warszawski","Humanistyczne;Informatyczne;Psychologiczne i społeczne","Interdyscyplinarnosc","Przyjety kierunek okreslonych wydzialow mocno ogranicza mozliwosci badawcze","4","Praktyki w firmach, nie tylko jednostkach badawczych. Przedmioty pokazujące jak używać zdobytej wiedzy w praktyce","Tak","2","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Biuro Karier;Targi Pracy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez książki i inne materiały","Tak, poprzez książki i inne materiały","Pracująca/-y","3-5 lat","UX Designer","UX Researcher","Tak","7500","4","4","5","3","5","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 3:20:18 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","Nie","","","","Tak","2018","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","Humanistyczne","Ciężko powiedzieć","Trudno powiedzieć.","3","Praktyki zawodowe ewentualnie utworzenie specjalizacji pod określony zawód","Tak","5","0-1 miesiąc","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Nauka pracy i nowych umiejetnosci w miejscu pracy","Nauka pracy i nowych umiejetnosci szkolenia w miejscu pracy","Pracująca/-y","3-5 lat","Brygadzista produkcji","Kognitywistyka","Nie","4000","3","3","3","3","3","Mężczyzna","26 - 30","Zamężna, Żonaty","Polska","Wieś"
"2020/05/08 3:38:04 AM GMT+2","Kognitywistyka (studia magisterskie)","Tak","Filologia germańska","","","","Nie","2015","Uniwersytet im. Adama Mickiewicza w Poznaniu","Biologiczne i przyrodnicze;Językoznawcze","Kardę naukową na UAM","Przedmioty informatyczne","4","Lepszy poziom przedmiotów informatycznych","Tak","3","0-1 miesiąc","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl)","Nie","Nie","","","","","","","","","3","4","5","2","4","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 5:23:53 AM GMT+2","Kognitywistyka (studia licencjackie)","Nie","japonistyka","Uniwersytet Jagiellonski","2017","Informatyczne;Psychologiczne i społeczne","","","","","interdyscyplinarnosc","nierownosc nacisku kladzionego na poszczegolne dyscypliny","4","wiecej praktyki, mniej teorii","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Agencja pośrednictwa pracy;nigdy nie szukalam pracy w Polsce, powyzsze odpowiedzi dotycza pracy za granica","Nie","Nie","","","","","","","","","5","4","4","4","4","Kobieta","26 - 30","Związek partnerski","Japonia","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 6:32:46 AM GMT+2","Kognitywistyka (studia licencjackie)","Nie","nie, w trackie (informatyka)","Uniwersytet Mikołaja Kopernika w Toruniu","2019","Informatyczne;Matematyczne","","","","","Szerokie spektrum dyscyplin","Trudność w specjalizacji na pierwszym w stopniu","3","Ciężko powiedzieć. ","Tak","3","Pracowałam/-em już w trakcie studiów","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez inne studia","Tak, poprzez inne studia;Pracuje głównie jako programista (gamedev, webdev), wiedza ze studiów informatycznych była mi niezbędna.","Pracująca/-y","7-12 miesięcy","Programista (gamedev, webdev, zlecenia na rozówj oprogramowania open source związanego z neuroobrazowaniem)","Programista/Informatyk","Nie","2500","5","2","4","2","3","Mężczyzna","23 - 25","Panna, Kawaler","Polska","Miasto do 500 tys. mieszkańców"
"2020/05/08 7:18:16 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Warszawski","2017","Humanistyczne;Informatyczne;Psychologiczne i społeczne","","","","","Interdyscyplinarnosc","Nierówny poziom studentów na ścisłych zajeciach","3","","Tak","4","Pracowałam/-em już w trakcie studiów;0-1 miesiąc","Strona internetowa pracodawcy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez książki i inne materiały","Tak, z zarządzania w trakcie pracy","Pracująca/-y","3-5 lat","STEAM curriculum director","Taki jak wykonuje","Tak","15000","4","4","5","4","4","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 7:39:44 AM GMT+2","Kognitywistyka (studia licencjackie)","Tak","IT&Cognition - mgr","Uniwersytet Jagielloński","2016","Psychologiczne i społeczne","","","","","","sporo powtarzalnych kursów - często ten sam materiał był przedstawiany po 3 razy","5","wspierać część researchową i wskazać ośrodki R&D jako możliwe ścieżki kariery (projektowanie, przygotowanie, przeprowadzanie, analiza badań)","Tak","2","Pracowałam/-em już w trakcie studiów","Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook)","Tak","Nie","","","","","","","","","4","3","5","5","4","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/08 7:50:56 AM GMT+2","Kognitywistyka (studia magisterskie)","Nie","Elektrotechnika","","","","Nie","2014","Uniwersytet im. Adama Mickiewicza w Poznaniu","Informatyczne","W Poznaniu była to cześć logiczna","W Poznaniu była to cześć biologiczna","3","","Tak","3","Pracowałam/-em już w trakcie studiów","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez bootcamp (programistyczny, UX-owy, dowolny)","Tak, poprzez inne studia","Pracująca/-y","Więcej niż 8 lat","Adiunkt","","Tak","6800","5","4","4","4","3","Mężczyzna","31 - 35","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
